Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2018-09-12 20:37:14.00,2018-09-12 16:37:14.00,0,42.273128,-71.749349,10,117.6786766052246,4,0,0.5,0.5,209.53125,32.8106575012207,47.1086311340332,35,1.194850056574333
2018-09-12 20:37:15.00,2018-09-12 16:37:15.00,0.2609999179840088,42.273150,-71.749386,10,117.8804588317871,4,0,0.2800000011920929,0.5,-1,35.60574722290039,49.90372085571289,35,1.219918967879815
2018-09-12 20:37:27.00,2018-09-12 16:37:27.00,12.25905120372772,42.273205,-71.749403,5,119.5597801208496,3,6.282101927595948,0.1500000059604645,0.5,18.984375,34.38174819946289,48.67972183227539,35,1.329945621844627
2018-09-12 20:37:35.00,2018-09-12 16:37:35.00,20.25829684734344,42.273243,-71.749455,5,119.8511619567871,3,12.30957098215174,2.990000009536743,0.5,278.0859375,34.38174819946289,48.67972183227539,35,1.653193937435449
2018-09-12 20:37:37.00,2018-09-12 16:37:37.00,22.25815296173096,42.273246,-71.749545,5,119.4877586364746,3,19.74471983005017,3.470000028610229,0.5,270.3515625,34.38174819946289,48.67972183227539,35,2.028809028890616
2018-09-12 20:37:39.00,2018-09-12 16:37:39.00,24.25802338123322,42.273232,-71.749647,5,119.5047874450684,3,28.29371470672636,4.099999904632568,0.5,264.7265625,34.38174819946289,48.67972183227539,35,2.471239364713917
2018-09-12 20:37:41.00,2018-09-12 16:37:41.00,26.25791025161743,42.273219,-71.749719,5,119.5079002380371,3,34.43990454814645,2.339999914169312,0.5,263.671875,34.38174819946289,48.67972183227539,35,2.794615782957458
2018-09-12 20:37:43.00,2018-09-12 16:37:43.00,28.2578045129776,42.273214,-71.749788,5,119.4107322692871,3,40.10346176487086,2.970000028610229,0.5,265.078125,34.38174819946289,48.67972183227539,35,3.088245690104589
2018-09-12 20:37:45.00,2018-09-12 16:37:45.00,30.25770843029022,42.273202,-71.749891,5,119.9667015075684,3,48.72086231964916,4.71999979019165,0.5,260.5078125,34.38174819946289,48.67972183227539,35,7.137816773743017
2018-09-12 20:37:46.00,2018-09-12 16:37:46.00,31.25766313076019,42.273192,-71.749965,5,120.1426048278809,3,54.89052218380741,5.460000038146973,0.5,259.453125,34.38174819946289,48.67972183227539,35,9.817516354753783
2018-09-12 20:37:47.00,2018-09-12 16:37:47.00,32.25762057304382,42.273186,-71.750037,5,119.7521629333496,3,60.84031150632558,5.809999942779541,0.5,260.15625,34.38174819946289,48.67972183227539,35,13.27970982856367
2018-09-12 20:37:49.00,2018-09-12 16:37:49.00,34.2575409412384,42.273175,-71.750129,5,119.0353050231934,3,68.53457712433257,3.75,0.5,260.15625,34.38174819946289,48.67972183227539,35,19.30673290396171
2018-09-12 20:37:52.00,2018-09-12 16:37:52.00,37.2574315071106,42.273162,-71.750219,5,118.6115379333496,3,76.11172739841641,2.700000047683716,0.5,260.15625,34.38174819946289,48.67972183227539,35,31.19679273352633
2018-09-12 20:37:54.00,2018-09-12 16:37:54.00,39.25736498832703,42.273148,-71.750310,5,118.9848289489746,3,83.73167333913445,4.409999847412109,0.5,259.453125,34.38174819946289,48.67972183227539,35,350.73425724642
2018-09-12 20:37:55.00,2018-09-12 16:37:55.00,40.25733470916748,42.273137,-71.750374,5,118.8349876403809,3,89.18063570346742,5.300000190734863,0.5,258.75,34.38174819946289,48.67972183227539,35,-6538.039034702841
2018-09-12 20:37:56.00,2018-09-12 16:37:56.00,41.25730466842651,42.273125,-71.750453,5,119.0434226989746,3,95.84033626123266,6.090000152587891,0.5,258.75,34.38174819946289,48.67972183227539,35,-604.4904225859382
2018-09-12 20:37:57.00,2018-09-12 16:37:57.00,42.25727534294128,42.273116,-71.750538,5,118.9795799255371,3,102.8952182858241,6.690000057220459,0.5,259.1015625,34.38174819946289,48.67972183227539,35,-514.0076318712692
2018-09-12 20:37:58.00,2018-09-12 16:37:58.00,43.25724768638611,42.273107,-71.750623,5,119.3435325622559,3,109.9436955137938,6.900000095367432,0.5,259.453125,34.38174819946289,48.67972183227539,35,-396.9707077253632
2018-09-12 20:37:59.00,2018-09-12 16:37:59.00,44.25722086429596,42.273093,-71.750704,5,119.2096824645996,3,116.8425670100178,6.78000020980835,0.5,260.15625,34.38174819946289,48.67972183227539,35,-344.059468630412
2018-09-12 20:38:00.00,2018-09-12 16:38:00.00,45.25719439983368,42.273083,-71.750776,5,119.0229759216309,3,122.8835086311131,6.289999961853027,0.5,260.5078125,34.38174819946289,48.67972183227539,35,-267.317843698927
2018-09-12 20:38:02.00,2018-09-12 16:38:02.00,47.25714373588562,42.273074,-71.750877,5,119.1617232610552,3,131.2352849602197,3.829999923706055,0.5,259.453125,34.38174819946289,48.67972183227539,35,-272.9219046020514
2018-09-12 20:38:03.99,2018-09-12 16:38:03.99,49.25709629058838,42.273061,-71.750953,5,119.240211198103,3,137.667996873548,3.440000057220459,0.5,257.6953125,34.38174819946289,48.67972183227539,35,-219.2352922681758
2018-09-12 20:38:05.99,2018-09-12 16:38:05.99,51.25705182552338,42.273049,-71.751037,5,119.5656067518593,3,144.6617965187898,3.400000095367432,0.5,257.6953125,34.38174819946289,48.67972183227539,35,-222.6825420433587
2018-09-12 20:38:09.99,2018-09-12 16:38:09.99,55.25696778297424,42.273032,-71.751098,5,120.0265636369389,3,150.0448802615076,0.5199999809265137,0.5,254.8828125,34.38174819946289,48.67972183227539,35,-538.9700003159818
2018-09-12 20:38:53.99,2018-09-12 16:38:53.99,99.25627672672272,42.273028,-71.751169,5,119.7823534291836,3,155.9297927695173,2.940000057220459,0.5,297.0703125,34.38174819946289,48.67972183227539,35,-107.3699987491557
2018-09-12 20:38:54.99,2018-09-12 16:38:54.99,100.2562627792358,42.273090,-71.751211,5,119.7653394244656,3,163.6912686986791,6.420000076293945,0.5,326.25,34.38174819946289,48.67972183227539,35,-139.249186185951
2018-09-12 20:38:55.99,2018-09-12 16:38:55.99,101.2562487125397,42.273155,-71.751245,5,120.0898278674266,3,171.435267740251,7.650000095367432,0.5,333.984375,34.38174819946289,48.67972183227539,35,-175.7822192353377
2018-09-12 20:38:56.99,2018-09-12 16:38:56.99,102.2562344074249,42.273234,-71.751304,5,120.1806685436065,3,181.5450368087744,9.569999694824219,0.5,336.4453125,34.38174819946289,48.67972183227539,35,-269.5691815296829
2018-09-12 20:38:57.99,2018-09-12 16:38:57.99,103.2562211751938,42.273313,-71.751344,5,120.0137528623066,3,190.8270592755192,9.949999809265137,0.5,338.90625,34.38174819946289,48.67972183227539,35,-312.4833720877816
2018-09-12 20:38:58.99,2018-09-12 16:38:58.99,104.2562085390091,42.273407,-71.751392,5,120.1236753544246,3,202.0717353911713,10.3100004196167,0.5,340.6640625,34.38174819946289,48.67972183227539,35,-346.3275354824913
2018-09-12 20:38:59.99,2018-09-12 16:38:59.99,105.2561936378479,42.273493,-71.751437,5,120.1550650915915,3,212.3748812395625,10.51000022888184,0.5,338.203125,34.38174819946289,48.67972183227539,35,-387.2788792757137
2018-09-12 20:39:00.99,2018-09-12 16:39:00.99,106.2561799287796,42.273582,-71.751486,5,120.0254589664046,3,223.0775160644199,10.63000011444092,0.5,338.5546875,34.38174819946289,48.67972183227539,35,-371.782984085549
2018-09-12 20:39:01.99,2018-09-12 16:39:01.99,107.2561651468277,42.273669,-71.751533,5,119.8680683755758,3,233.469702022448,9.989999771118164,0.5,338.90625,34.38174819946289,48.67972183227539,35,-385.2133254750818
2018-09-12 20:39:02.99,2018-09-12 16:39:02.99,108.2561523914337,42.273748,-71.751579,5,119.7596800081011,3,243.0769036502133,9.5,0.5,338.203125,34.38174819946289,48.67972183227539,35,-444.8129829921434
2018-09-12 20:39:03.99,2018-09-12 16:39:03.99,109.2561376094818,42.273823,-71.751622,5,119.6113775092568,3,252.0692700249851,8.739999771118164,0.5,338.203125,34.38174819946289,48.67972183227539,35,-485.9961376742043
2018-09-12 20:39:04.99,2018-09-12 16:39:04.99,110.2561249732971,42.273891,-71.751661,5,119.3593115886481,3,260.3749530249558,7.679999828338623,0.5,338.203125,34.38174819946289,48.67972183227539,35,-471.6087369322414
2018-09-12 20:39:05.99,2018-09-12 16:39:05.99,111.2561104297638,42.273953,-71.751694,5,119.2584216366756,3,267.7827163328491,6.670000076293945,0.5,338.5546875,34.38174819946289,48.67972183227539,35,-387.5546039108727
2018-09-12 20:39:06.99,2018-09-12 16:39:06.99,112.2560968399048,42.274008,-71.751720,5,119.157257618372,3,274.2210426586913,5.46999979019165,0.5,339.2578125,34.38174819946289,48.67972183227539,35,-310.9989644379312
2018-09-12 20:39:07.99,2018-09-12 16:39:07.99,113.2560831308365,42.274059,-71.751742,5,118.8599397633368,3,280.2372615278883,4.550000190734863,0.5,341.015625,34.38174819946289,48.67972183227539,35,-254.0938784443313
2018-09-12 20:39:09.99,2018-09-12 16:39:09.99,115.2560559511185,42.274104,-71.751765,5,118.8575524956981,3,285.5425949219648,1.080000042915344,0.5,340.3125,34.38174819946289,48.67972183227539,35,-183.1193525304692
2018-09-12 20:40:42.99,2018-09-12 16:40:42.99,208.2547905445099,42.274059,-71.751772,5,118.1462447684829,3,290.5753171489673,0.3600000143051147,0.5,339.9609375,34.38174819946289,48.67972183227539,35,-5.401532929599589
2018-09-12 20:40:46.99,2018-09-12 16:40:46.99,212.2547371387482,42.274123,-71.751807,5,117.9083075137786,4,298.3245633954608,4.059999942779541,0.5,338.203125,34.38174819946289,48.67972183227539,35,-22.21181970321735
2018-09-12 20:40:48.99,2018-09-12 16:40:48.99,214.2547098398209,42.274208,-71.751859,5,117.7971791781228,4,308.6932543248246,5.46999979019165,0.5,338.5546875,34.38174819946289,48.67972183227539,35,-37.76331041721418
2018-09-12 20:40:49.99,2018-09-12 16:40:49.99,215.2546963691711,42.274256,-71.751884,5,117.8724189131012,4,314.3464350627018,5.670000076293945,0.5,338.90625,34.38174819946289,48.67972183227539,35,-46.60207715383693
2018-09-12 20:40:50.99,2018-09-12 16:40:50.99,216.2546830177307,42.274305,-71.751910,5,117.801594458948,4,320.2313475707115,6.050000190734863,0.5,339.2578125,34.38174819946289,48.67972183227539,35,-57.92273886711422
